original_text,processed_text
Amien bisanya cuma nggedebuzzzz,bisa ngedebuz
KAMU MANUSIA TERBURUK <br>KARNA KAMU LAHIR DARI LENDIR IYURAN,kamu manusia terburuk kamu lahir lendir iyuran
Amin rais atao kutu kurap maqul yg gak ada kebaikan yg di miliki keluarganya. Dia ini maqul yg bodoh cengar cengir tertawa sendiri yg betul betul memalukan keluarganya. Hatinya tidak lebih jelek dari mukanya,atao kutu kurap maqul baik milik keluarga dia ini maqul bodoh cengar cengir tertawa memalukan keluarga hati jelek muka
Pak Amin byk istighfar,byk
Jokowi itu Lugu lugu Pukimak min..,itu lugu lugu pukimak min
Sesungguhnya orang yg bodoh adalah orang yg menganggap dirinya pintar.Padahal oon.....,sungguh orang bodoh orang anggap pintar on
Jangan sampai manusia laknat tukang fitnah dan kudeta 3 presiden di biarkan...tangkap sekalian ini lha sengkurni yg asli di indobesia,manusia laknat tukang fitnah kudeta presiden biar tangkap ini lha sengkurni asli indobesia
"Setresssss....<br>Sudah bau tanah,kok ngak insaf,,,,",tres bau tanah ngak insaf
Propokaror dh tua bngkaaa.,propokaror dh tua bngka
"Pak Amin Raiis orang tua yang gak tau diri, seperti orang tua yang omongannya gak mencerminkan orang beragama.",orang tua orang tua omong cermin orang agama
Sengkuni lagi ndobol😂,licik ndobol
😂⁴ hai amin rais klu lu org paling terkutuk kotoran bangsa⁴,hai kamu orang terkutuk kotoran bangsa
Turu turu o ae Mbah amin,turu turu o aja kakek
Menurut saya yg diomongin PK amin rais justru ia ngomongin dirinya sendiri bukan  PK Jokowi.......,diomongin ngomongin
Gelandangan politik paling jijik yg pernah lahir di indonesia.,gelandangan politik jijik lahir indonesia
"Udah aki2 masih napsu jabatan, anakmu mau di kmanain tu mukanya,.aminnnn rakus kamu pantesnya hidup di hutan campur sama monyet2 , yg plonga plongo kamu dah pikun",udah kakek napsu jabat anak kmanain itu muka serakah kamu pantesnya hidup hutan campur monyet bingung bingung kamu lupa
"Ga ngaca, amin rakus, yg kerjanya cuma njelekin oranf, pdahal amin rakus lebih menjijihkan, amit2 tinggal tulang sama kulit ga sadar bentar lagi modar",kaca serakah kerja njelekin oranf pdahal serakah menjijihkan amit tinggal tulang kulit sadar bentar tinggal
"Pak Purnomo, si amin nakal mainan mix lagi",purnomo si nakal main mix
Mbah dlu jdi ketum MPR krjya apa ? Gx ada kontinu di-nya bls,kakek dlu tum krjya gx kontinu nya bls
Gatel.bapa.tua.waduke.lara.ndeleng.kaki.peot.sadar.dorna.kaki.sing.goblog.,gatel bapa tua waduke lara ndeleng kaki peot sadar dorna kaki goblog
Udang 2 gedurjan dimana  mbAh,udang gedurjan mana kakek
Kalau aku jadi anaknya sangat malau mending kubur sendiri hidup2,aku anak sangat malau mending kubur hidup
Amin rais punya agama gak sih,agama
lu yg pretttttyy,kamu prety
"Ada gak yg punya postingan, waktu Amin Rais menjelekkan Gis Dur",postingan jelek gis
😂😂😂 lg mabok nih ?,mabok ini
"Politikus terburuk, mulut tdk pernah berkata sopan",politikus terburuk mulut sopan
Modar bae lah pak.. wis tuo wis mambu lemah,tinggal bae tua mambu lemah
Podo wong solo me kudune malah bangga wong solo dadi presiden,podo orang solo me kudune bangga orang solo presiden
Oleh mu g seneng Karo pak Joko w gelani Jane Ki OPO masalahe PO Ra oleh lapak ..Ra oleh ngono mbah,kamu neng karo w gani jane ini masalahe po lapak ngono kakek
Sengkuni silaknat..sipikun otak busuk..,licik silaknat sipikun otak busuk
Menungso ora duwe adab,menungso duwe adab
"Sudah tua Kok ucapannya seperti orang tidak berpendidikan, padahal katanya tokoh agama dan guru besar",tua ucap orang didik tokoh agama guru
Amien Rais ketua MPR terburuk dalam sejarah Indonesia,ketua terburuk sejarah indonesia
Saya bukan pendukung Jokowi tapi.. Denger omongan mbah Amien 😇😇😇<br>Ko bisa dengki dipiara  ... <br>Berarti klo presiden  terburuk... Apalagi yg laen...,dukung denger omong kakek dengki piara presiden terburuk laen
Pesenin aja cpt dah kuburanya ..manusia sll bkn gaduh ..,senin aja cpt bura manusia sll bkn gaduh
"mampus kau dulu  bagus² suharto ko jatuh ko lengserkan, skrg kau rasakan, mampus kau mkn hati kau kan , rasain kau, mudah mudahan d penjarakan jokowi kau mau nya",mampus kau bagus suharto jatuh lengser skrg kau rasa mampus kau mkn hati kau rasain kau mudah mudah penjara kau nya
"Contoh iblis yg sesungguhnya, berujud manusia.",contoh iblis sungguh ujud manusia
Sengkuni kamu min Amin,licik kamu min
Congormu men Amin,congor
Kau Iyya apa,kau iya
"Mbah sudah Tua mbok yo sadar liang lahat sudah dekat, jgn sampe kebencianmu dibawa mati.",kakek tua iya sadar liang lahat sampe benci bawa mati
Inilah orang tak bersukur karna tak ada jabatannya maka dah ngawur,ini orang bersukur jabat ngawur
seng penting dadi presideen dripda RAAIIIMUUU iisss gelandangaan,presiden dripda rai gelandangan
dendam  melupakan usianya yg sudah bau tanah,dendam lupa usia bau tanah
"harusnya provokator di tangkap, udah tua seharusnya bertaubat pak,",provokator tangkap udah tua taubat
Gak sadar diri..,sadar
Sudah tua ngga sadar2 apa agamanya amin kopret ini kalau inslam ngga juga sebab kalau orang iskam ngga seperti amin kopret ini kerjaannya hanya nyinyir,tua sadar agama kopret ini inslam orang iskam kopret ini kerja ngomong
Amin rais manusia tetbusuk kpn tobanya min sbntr lagi lu modar,manusia tetbusuk kpn tobanya min sbntr kamu tinggal
orang yg iri dengki ni manusia tua Bangka ga tau diri orang yg ambisius,orang iri dengki ini manusia tua bangka orang ambisius
"Oalah Mbah Mbah wes tuo kok Yo ngawur omonge , <br>Usia segini memang sedang lucu&quot;nya😅",oalah kakek kakek tua iya ngawur omonge usia gin lucu kutip nya
Org tua ikut campur,orang tua campur
"Ya allah......seorang tokoh kata2 nya sangat kejam dan menjijikan ,dengarnya sangat muak seolah2 bukan lgi tokoh tpi gelandangan jalanan.",ya tokoh nya sangat kejam jijik dengar sangat muak lgi tokoh tpi gelandangan jalan
"inilak kakek kakek yg menampakan kejelekanya di muka umum mmg dia lebih baik dari jokowi, ini kakek kakek penjual obat yg gak laku laku",inilak kakek kakek tampak kejelekanya muka mg dia ini kakek kakek jual obat laku laku
Virus,virus
"CAMKEM MU YG BOSOK , MIN  &quot; TIKAH LAKUMU YG BROBROK",camkem kamu bosok min kutip tikah laku brobrok
Dari jaman pak harto orang ini kok ucapan   nya ngank pernah baiik tonton vidio diiaa,jaman harto orang ini ucap nya ngank tonton vidio dia
"Mbah Amien, eling Mbah WIS tuwa dhelok meneh WIS budal kok ikik ngumbar napsu angkoro, pa Ra Wedi Karo kang murbeng dumadi ?",kakek kakek tuwa dhelok teh budal ikik ngumbar napsu angkoro wedi karo kang murbeng dumadi
"Kata Mbah KH Abdurrahman Wahid kalau orang menghina,memaki, mencela kalau orang yang di maki2 Ndak mengefek itu kembali balik ke orang yang memaki lagi ingat itu ......!!!.",kakek kh abdurahman wahid orang menghina maki cela orang maki ndak efek itu orang maki itu
Dan Amin Rais adalah <br>Manusia  paling terkutuk <br>Sejagat raya 😂😂😂😂,manusia terkutuk jagat raya
Blm pernah lihat org ini  jalan kaki dari jogja to Jkrt...kyk nya pernah janji?,lihat orang ini jalan kaki jogja jkrt kyk nya janji
"Napas tinggal satu2 gtu masih aja merendahkan orang lu min.. Udh mo mati tuh banyak2 berbuat baik, kasian hidup mu.. Sakit hati yg tak terobati😂😂bawa tuh ampe ke Liang lahat, biar ente langsung ke neraka sekalian..",napas tinggal gtu aja merendahkan orang kamu min mo mati tuh buat kasi hidup kamu sakit hati obat bawa tuh ampe liang lahat biar ente langsung neraka
Jangn&quot;yg bodoh yg ngomong hatinya penuh kedengkian semoga mau belajar menjadi orang baik dan di beri kesempatan tobat,jangn kutip bodoh ngomong hati penuh dengki moga ajar orang sempat taubat
Wong tuo ra biso dadi panutan,orang tua biso panutan
Tangkap ini orang,tangkap ini orang
"Amien Rais, manusia toxic menyebut orang lain toxic...<br>Dalam hati orang ini entah isinya sampah macam apa...<br>😅😅😅",manusia toxic sebut orang toxic hati orang ini isi sampah
Raimu....min min....,rai min min
Tambah bosok AE cocote si amin Iki  🤪,bosok aja cocote si ini
Sangkuni dalang kerusuhan,sangkuni dalang rusuh
mbahe omyeng dleming hihiik,mbahe omyeng dleming hihik
Wajahe sengkuni semakin tua semakin lucu penampilannya seperti minyuk,wajahe licik tua lucu tampil minyuk
"Sesungguhnya profesor sekolahmu tapi  sengkuni atimu drengki srehi methakil  bin thengil, mulakno partemu nungsep dlesep",sungguh profesor sekolah licik ati drengki srehi methakil thengil mulakno partemu nungsep dlesep
Dasar tua bangka😂,dasar tua bangka
Astagfirulloooh pk ameen matanya kosong apakah benar kutukan gusdur dulu kasiyaaan,astagfiruloh amen mata kosong kutu kasiyan
"<i>____hai Amin, istirahatlah__</i>*(3&lt;&gt;÷[&lt;&lt;",i hai istirahat i lt gt lt lt
Harusnya orang ini dirante,orang ini rante
opo maneh cangkem&#39;u Cok,maneh mulut u cok
Bukanya Aminrais yg plongaplonggo,buka aminrais plongaplongo
Makin tua makin jadi provokatornya,tua provokator
Kasihan banget tuh mbah amin mbah mbah amin amin nangis,kasihan sangat tuh kakek kakek kakek nang
"Kalau lu Is Rais , manusia terburuk , terpuruk , dan gelandangan politik , Ter awet di dunia 😅😅😅😅😅😅😅",kamu manusia terburuk puruk gelandangan politik ter awet dunia
Lan lan lan kae lek paelan<br>Yah yah yah kae lek tarwiyah<br>Ton ton ton jaluk ntepi watu sak ton,lan lan lan kae lek paelan yah yah yah kae lek tarwiyah ton ton ton jaluk ntepi watu sak ton
Hahaa politik nya ga laku,haha politik nya laku
Setan amin Rais pasti akan masuk penjara,setan masuk penjara
Orang tua ini sangat kurangajar dan bangsat..... tangkap si Amin,orang tua ini sangat kurangajar bangsat tangkap si
Terburuk cangkemmu Sengkuni,terburuk cangkemmu licik
MIRIS UDAH AKI2 MASIH NYINYIR ORANG BUKANNYA BANYAKIN DZIKIR NAUZUBILLAH...,miris udah kakek ngomong orang banyakin dzikir nauzubilah
Kalo bagi saya sih yang terburuk dan iri hati dan dengki ini.dan memecah belah bangsa  adalah  bapak gelandangan politik ini😂😂😂terimalah nasipmu di negara ini pak gelandangan 😭😭😭😭,terburuk iri hati dengki ini pecah belah bangsa gelandangan politik ini terima nasipmu negara ini gelandangan
Pemimpin terburuk ko bisa ngomongin orang lain??😂😂,pimpin terburuk ngomongin orang
Saya setu sama gusdursuatu saat jadi gelandangan  men  ..,setu gusdursuatu gelandangan
Amin rais amin rais kamu itu orang yg paling naip sedunia  pinter kelihatanya tp tidak di sukai sama senagian rakyat indonesia,kamu itu orang naip dunia pintar kelihatanya suka senagian rakyat indonesia
Amin rais juga manusia terburuk sedunia,manusia terburuk dunia
"sdh sepuh bukan nya sadar diri dn mawas diri mlh jelek2in orang , ingat umur Min........",tua nya sadar mawas mlh jelekin orang umur min
PENJAGA PINTUNYA KEMANA?<br>KOK PASIEN BISA LEPAS LARI²....,jaga pintu mana pasien lepas lari
"Cangkemu rusak min amin,",mulut rusak min
setidak nya bukan gelandangan politik 🥱,tidak nya gelandangan politik
Orang ini dibberi umur panjang supaya bisa lebih banyak menabung dosa untuk bekal di akhirat nanti salam waras,orang ini umur tabung dosa bekal akhirat salam sehat
"Perlu di proses, biar ada kesempatan untuk lebih baik, buat bekel kedepannya",proses biar sempat bekel depan
Tapi pk Jokowi pernah jadi presidin<br>Dari pada si tukang jelekan orang<br>Dan meremeh kan org TK punya kedudukan maka itu sakit hati<br>Ingat udah bau tanah sadar lah.,presidin si tukang jelek orang remeh orang tk duduk itu sakit hati udah bau tanah sadar
Koe goblok DARI pak jokowi,kamu goblok
"Pak Amin itu sudah tua,sudahlah dunia perpolitikan sudah ada yang urus,mending sering itikaf di mesjid,jadi pak RW cocok pak amin,jangan memprovokasi,semakin dalam anda membenci sesorang dan di umbar di publik ,semakin dalam pula orang menilai buruk anda.",itu tua dunia politik urus mending itikaf mesjid rw cocok provokasi membenci sorang umbar publik orang nilai buruk
Wong tuwo tuo kengen dadi presiden ca2,orang tuwo tua kengen presiden ca
COCOT BOSOK LAMISSS GLANDANGAN POLITIK  TUKANG ADU DOMBA   ...SENGKUNI   LONDO MENANG MELU LONDO  AMBISI IN GGIN JD PRESIDEN ...TUEK KAREK .MODARE Cbgkeme LAMISSSS....ANTAN KETU MPR TERLAMISSSS😅😅😅😅😅,cocot bosok lam gelandangan politik tukang adu domba licik londo menang melu londo ambisi in gin presiden tua karek modare cbgkeme lam antan ketu lam
Amien Rais bapak dan kakek terburuk di Indonesia..😅,kakek terburuk indonesia
GELANDANGAN POLITIK SATU2NYA DI INDONESIA ADALAH AMIN  RAKUS ....CANGKEM COMBERAN OTAK TAI...tdk isa .w ghargai menghormati orang lain..SENGKUNI BLEJET TDK ADA M.ANFAATNYA UNTUK NEGARA...GAK PUnya ADAB  SOK SUCI ...PADAHAL IA TERJIJIK...COCOT CANGKEM LAMISSSS...TUKANG ADU ADU,gelandangan politik satu indonesia serakah mulut comberan otak tai isa w ghargai hormat orang licik blejet m anfatnya negara adab sok suci terjijik cocot mulut lam tukang adu adu
Adigang adigung adiguno soposiro sopo ingsun,adigang adigung adiguno soposiro sopo ingsun
Amin adalah sengkuni indonesia,licik indonesia
Betul bgt pak amin,bgt
Kamu itu yang aneh<br>Masa kamu lebih baik dari Jokowi<br>Ngaca dong<br>😂,kamu itu aneh kamu kaca
Tua judes. Mampus kau,tua judes mampus kau
"H h h h h...terburuk bagi Amin Rais, adalah terbaik bagi rakyat yang 58% loh!!!...☝️😄",h h h h h terburuk baik rakyat loh
Amin orang tua .. politikus..yg ktanya reformasi terburuk dri dulu.. sangat biadab..yg tengil yg tukang fitnah..sekali kau berucap 1000 yg menghujat mu,orang tua politikus ktanya reformasi terburuk dri sangat biadab menyebalkan tukang fitnah sekali kau ucap menghujat kamu
Congor AR betul betul longor,congor ar longor
"Orang yg suka menghina orang lain,adalah Ahli neraka.",orang suka menghina orang ahli neraka
Yaalloh mbak min bukanya kamu yg terburuk,yaloh mbak min buka kamu terburuk
Sengkuni sudah toxsit dan bodoh itulah Amin Rais,licik toxsit bodoh
"Semoga Alloh memberi yang terbaik buat Bpak ini, yang selalu menghina, memfitnah, nyinyir dll",moga baik bpak ini menghina memfitnah ngomong dll
Kalau kamu mbah manusia ter nyinyir di Indonesia.. <br>Jadi petualang politik.. Tak dapat jabatan jadi nyinyir,kamu kakek manusia ter ngomong indonesia tualang politik jabat ngomong
Saya nyatakan bahwa amin nangis adalah ketua MPR paling buruk ahlaknya....,nyata nang ketua buruk ahlaknya
Hukum aja amin rais lah ...,hukum aja
Cocot.<br>..j,cocot j
"Kok anak nya diem aja, mungkin satu tujuan jadi bangsat negri ini, ngemis jabatan di Prabowo untuk jadi wakil presiden,woee urat malu kalian sekeluarga tuh udah putus dan rusak,jadi sampah masyarakat kalian semua",anak nya diem aja tuju bangsat negri ini ngemis jabat wakil presiden woe urat malu keluarga tuh udah putus rusak sampah masyarakat
Yg ngomong strees,ngomong stres
"Trus kau sendiri udah berbuat apa untuk negara ini amin reis ngedabrus,sontoloyo Kowe,dasar aduh Kowe, tunggu aja saatnya utk membusuk di Nusakambangan Kowe,",trus kau udah buat negara ini reis ngedabrus sontoloyo kamu dasar aduh kamu tunggu aja busuk nusakambangan kamu
Makin tua makin kurang ajar..merendahkan orang lain...sama dgn merendah dirinya dirinya sendiri😂😂,tua ajar merendahkan orang rendah
"Si amin rais tokoh TERBURUK bagi bangsa indonesia tokoh gak punya etika gak punya adab tatakrama..gak pantas di sebut tokoh.,yg pantas pengadu domba😂😂😂😂",si tokoh terburuk bangsa indonesia tokoh etika adab tatakrama tokoh adu domba
Bagimu pak pak jokowi orang nya baik ...nggak pernah menjelek jelek kan orang lain .pak amin kan hobinya nyinyir menjelek jelekan orang itu namanya dosaaaa besar paaaaak tauuuuu,bagi orang nya jelek jelek orang hobi ngomong jelek jelek orang itu nama dosa
"Amin Rais grombolan sakit hati , propokator mau engklek ke jogja ya Min , Amin .",grombolan sakit hati propokator engklek jogja ya min
Walah2 mbah mvah kalo kamu kaya apa mbah wong wis tuwo mbok yen sing ngomong sing becik.,walah kakek mvah kamu kaya kakek orang tuwo yen ngomong becik
"min Amin , seng plonga plongo Yo RAIMU, mending mingkem cangkemu biar gak banyak dosa org Laen karna banyak yg muat liat RAIMU !!!",min bingung bingung iya rai mending mingkem mulut biar dosa orang laen muat lihat rai
Sengkuni ancok,licik ancok
Amien Rais - sengkuni,licik
Sengkuni Indonesia si amin rais,licik indonesia si
Sy merasa PD amin kasian saat d alam kubur nya..,pd kasi alam kubur nya
"Udah mau matipun masih nyaci orang, pantes dilamain matinya, dosanya pasti banyak yakin aku, disuruh tobat dia",udah mati nyaci orang pantes dilamain mati dosa aku suruh taubat dia
Jika Iblis berbentuk manusia sampai achir zaman tetap saja menjadi pengacau jahat itu lah si amin Rais lihat wajah nya seperti Iblis,iblis bentuk manusia achir zaman acau jahat itu si lihat wajah nya iblis
"AKI  AKI  NURUSTUNJUNG , LEBOKKEUN TETELO......",kakek kakek nurustunjung lebokeun tetelo
Dunia dan rakyat Indonesia mengakui  Jokowi presiden terbaik sepanjang sejarah Indonesia <br>Tapi orang2 setreeessssss dungu dan sakit hati aja yg GK mengakui nya😂,dunia rakyat indonesia aku presiden baik sejarah indonesia orang tres dungu sakit hati aja aku nya
"BPK Jokowi...,, g perlu nanggpin hal yg murahan spti ini . Krn klu ditanggapin malah JD rendahan. BS SM lefelnya. Kan malahan rugi byk..klu di tnggpin.yg stuju jempolnya mn??",nangpin murah spti ini ditangapin rendah bs lefelnya rugi byk tngpin stuju jempol mn
cangkeme amin rais tai babi,mulut tai babi
Orang sakit keluar lgi,orang sakit lgi
kurang pengawean menilai,pengawean nilai
Pak kuran pengaqean❤❤❤❤❤❤❤ korek si diri sendiri hanya Allah yang bisaenilai,kur pengaqean korek si bisaenilai
